Factor,Lvalue,Avalue,Bvalue,Median_LogWorth,Max_LogWorth,Appears_Significant
Intercept,16.0,16.0,304.7241237991728,16.0,304.7241237991728,3
dye1,35.179315812842944,136.83054838472208,183.3788254346888,136.83054838472208,183.3788254346888,3
Time,81.96961024887874,145.19188982316697,124.00706259692932,124.00706259692932,145.19188982316697,3
dye2,82.64583188392638,142.90836681182637,93.19340653244822,93.19340653244822,142.90836681182637,3
I(dye1 ** 2),0.03585532422708568,22.051954375101563,55.82757001998788,22.051954375101563,55.82757001998788,2
I(Time ** 2),2.286056671854158,25.86846900714572,26.539547698627366,25.86846900714572,26.539547698627366,3
dye1:Time,3.609234903535475,13.904646287894792,25.51081772618411,13.904646287894792,25.51081772618411,3
dye2:Temp,2.0627772450592157,1.9203985702109392,17.072116148895166,2.0627772450592157,17.072116148895166,3
Temp,5.7019456900949415,15.938190704387722,0.44957685918888596,5.7019456900949415,15.938190704387722,2
dye1:dye2,3.108393682704123,13.097667449605588,1.3787844118322774,3.108393682704123,13.097667449605588,3
dye1:Temp,4.20001058651983,6.727576517626666,0.14971139319292173,4.20001058651983,6.727576517626666,2
dye2:Time,0.23057799773102391,1.6619334839699667,6.023620645069619,1.6619334839699667,6.023620645069619,2
I(dye2 ** 2),2.938383585863015,5.138761724817849,0.712568591118239,2.938383585863015,5.138761724817849,2
I(Temp ** 2),4.225768913391486,0.053915885865797535,0.4581482908321413,0.4581482908321413,4.225768913391486,1
Time:Temp,0.01607450393207281,0.7058488786700476,0.3383717639224688,0.3383717639224688,0.7058488786700476,0
