Factor,Lvalue,Avalue,Bvalue,Median_LogWorth,Max_LogWorth,Appears_Significant
Intercept,16.0,16.0,305.67843308435596,16.0,305.67843308435596,3
dye1,35.31718734268059,137.0810340751343,183.96586273403113,137.0810340751343,183.96586273403113,3
Time,82.25518563932816,145.37115635216603,124.33700099664999,124.33700099664999,145.37115635216603,3
dye2,82.93373336684276,143.07826107272402,93.42927256227124,93.42927256227124,143.07826107272402,3
I(dye1 ** 2),0.035915893961988486,22.022313811863576,55.951450832081434,22.022313811863576,55.951450832081434,2
I(Time ** 2),2.292673490183513,25.834173741711375,26.588570983637617,25.834173741711375,26.588570983637617,3
dye1:Time,3.623877240053017,13.98017817891164,25.633243384904727,13.98017817891164,25.633243384904727,3
dye2:Temp,2.071214572437377,1.8784029643374462,17.052344103613606,2.071214572437377,17.052344103613606,3
Temp,5.721165602878936,15.94744840021379,0.4541444866916686,5.721165602878936,15.94744840021379,2
dye1:dye2,3.117629988519426,12.989027070979226,1.361723251595644,3.117629988519426,12.989027070979226,3
dye1:Temp,4.212815793860178,6.708447295317117,0.15062190816496046,4.212815793860178,6.708447295317117,2
dye2:Time,0.2310952502052343,1.6608209032332697,6.034718443022371,1.6608209032332697,6.034718443022371,2
I(dye2 ** 2),2.9471718006355068,5.129668275461423,0.7135384093913503,2.9471718006355068,5.129668275461423,2
I(Temp ** 2),4.238801817569267,0.05400037304939317,0.458484028723069,0.458484028723069,4.238801817569267,1
