Factor,Estimate,Response
Intercept,93.2800647431503,Lvalue
I(Temp ** 2),-0.18844117647058825,Lvalue
I(Time ** 2),-0.06783998382820282,Lvalue
I(dye1 ** 2),-5.849295218021344,Lvalue
I(dye2 ** 2),2081.9843605724836,Lvalue
Temp,-0.08581266646300065,Lvalue
Time,-0.33241675158684986,Lvalue
dye1,-4.98217514617816,Lvalue
dye1:Temp,-1.3153984707757218,Lvalue
dye1:Time,-0.9814581826084516,Lvalue
dye1:dye2,149.98701517854772,Lvalue
dye2,-59.74686619749289,Lvalue
dye2:Temp,-6.58132873751968,Lvalue
dye2:Time,1.305991068805836,Lvalue
Intercept,-4.067671401807086,Avalue
I(Temp ** 2),-0.007303921568627451,Avalue
I(Time ** 2),0.14462589958979502,Avalue
I(dye1 ** 2),-105.87224344618632,Avalue
I(dye2 ** 2),-1807.4369723651232,Avalue
Temp,0.08822992467322602,Avalue
Time,0.34623147373071894,Avalue
dye1,9.166234856318072,Avalue
dye1:Temp,0.9061633909788307,Avalue
dye1:Time,1.1902790725251435,Avalue
dye1:dye2,-190.22743388498733,Avalue
dye2,60.20063986481562,Avalue
dye2:Temp,-2.376590932993218,Avalue
dye2:Time,-2.3507839238505044,Avalue
Intercept,-2.3455598198728227,Bvalue
I(Temp ** 2),0.040901960784313726,Bvalue
I(Time ** 2),0.29074278783515495,Bvalue
I(dye1 ** 2),-384.2986958240023,Bvalue
I(dye2 ** 2),-1029.5527057776017,Bvalue
Temp,0.029007098522704444,Bvalue
Time,0.5560425662907307,Bvalue
dye1,26.99081292783897,Bvalue
dye1:Temp,-0.5553904654386381,Bvalue
dye1:Time,3.3620163276587385,Bvalue
dye1:dye2,-87.79727717768647,Bvalue
dye2,-75.02391299735815,Bvalue
dye2:Temp,-20.84087433547899,Bvalue
dye2:Time,-9.664333909163185,Bvalue
